movie_1,movie_2,movie_3,movie_4,movie_5,movie_6,movie_7,date,movie_watch,past_success
The Caveman's Valentine,Les Visiteurs 2 : Les Couloirs du temps,The Hours,The Godfather: Part II,Psycho,The Blind Side,Southpaw,2024-03-26,Batman Forever,False
Three to Tango,Biutiful,Megamind,Metropolis,A Sound of Thunder,The Secret Life of Bees,Der Baader Meinhof Komplex,2024-03-26,About Time,False
Made,Silent Hill,Planet 51,Legend,紅番區,The Greatest Game Ever Played,Owning Mahowny,2024-03-26,American Psycho,False
How to Be a Player,Queen Crab,High Fidelity,The Maid's Room,X2,Palo Alto,How Green Was My Valley,2024-03-26,The Women,True
The English Patient,The Invasion,The Gambler,Monster House,Mickey Blue Eyes,Catch Me If You Can,21,2024-03-26,The International,False
Sleeper,Wind Walkers,Casper,Singin' in the Rain,Rapa Nui,Apocalypse Now,Boyhood,2024-03-26,Sleepers,False
Four Rooms,The Huntsman: Winter's War,H.,Gremlins 2: The New Batch,Die Another Day,Orphan,In Too Deep,2024-03-27,Undisputed,True
The DUFF,Dead Man on Campus,Harry Potter and the Prisoner of Azkaban,Kiss the Bride,Around the World in 80 Days,Let's Be Cops,Touching the Void,2024-03-27,Small Apartments,False
Erin Brockovich,A View to a Kill,The Transporter,Eye of the Dolphin,Epic,Safe Haven,The Land Before Time,2024-03-27,Limbo,False
What a Girl Wants,The Soloist,Brothers,The Best of Me,The Lost Boys,The Specials,Invasion U.S.A.,2024-03-27,And So It Goes,False
Pound of Flesh,Star Trek V: The Final Frontier,Zambezia,Saving Face,Ghostbusters,Jaws,The Devil Wears Prada,2024-03-27,The Grudge 2,False
The Land Girls,Morning Glory,Safe Haven,Billy Elliot,The FP,The Hustler,Shotgun Stories,2024-03-27,Penitentiary,True
Summer of Sam,Alatriste,Just Go with It,The Brown Bunny,10th & Wolf,Evita,Lords of London,2024-03-28,Slam,True
Finding Neverland,Brighton Rock,Punisher: War Zone,Another Year,The Blues Brothers,The Ice Pirates,Unnatural,2024-03-28,The Sting,True
St. Trinian's,G.I. Joe: Retaliation,Zoolander,The Clan of the Cave Bear,I Heart Huckabees,The Hills Have Eyes,Dry Spell,2024-03-28,Say It Isn't So,False
三枪拍案惊奇,Hannah Montana: The Movie,The Last Time I Committed Suicide,Damnation Alley,Friends with Money,Happy Feet Two,Buffalo '66,2024-03-28,Blue Crush,True
Iraq for Sale: The War Profiteers,Thinner,Animal House,Cars 2,The Last Samurai,Krull,Fear and Loathing in Las Vegas,2024-03-28,Robin and Marian,False
Sweet November,The I Inside,Flash Gordon,Ninja Assassin,Jason Goes to Hell: The Final Friday,Deuces Wild,The Taking of Pelham 1 2 3,2024-03-28,Wild Card,False
Primary Colors,Everyone Says I Love You,Gladiator,Adam Resurrected,Cinderella,Kurmanjan Datka. Queen of the Mountains,Free State of Jones,2024-03-29,Welcome to the Rileys,False
Namastey London,A Charlie Brown Christmas,You Can't Take It With You,Darling Companion,Side Effects,Aliens,Noah,2024-03-29,Womb,False
The Nutcracker: The Untold Story,Cars 2,Bedazzled,Maze Runner: The Scorch Trials,Obitaemyy Ostrov,"For a Good Time, Call...",Monsters University,2024-03-29,Astro Boy,False
Restoration,Godsend,88 Minutes,Sicko,All Is Bright,Crazy Heart,Four Brothers,2024-03-29,Ed and His Dead Mother,False
Tanner Hall,Unleashed,The Mighty Macs,Notes on a Scandal,Employee of the Month,The Lost Medallion: The Adventures of Billy Stone,Airplane!,2024-03-29,The Others,False
Chicago,The Ring Two,Enter the Dangerous Mind,Catch a Fire,The Kid,Antarctic Edge: 70° South,Fat Albert,2024-03-29,Notting Hill,False
King Kong,Frances Ha,Robots,Circle,For Your Consideration,Mortdecai,Bella,2024-03-30,Saw,False
Thor: The Dark World,Lucky Break,Rent,キャプテンハーロック,The Clan of the Cave Bear,My Own Private Idaho,Big Daddy,2024-03-30,Delgo,False
Gridiron Gang,Blue Valentine,Ghost Town,The Bridge of San Luis Rey,The Tuxedo,"Synecdoche, New York",Dirty Work,2024-03-30,Modern Times,False
"War, Inc.",13 Going on 30,London,Ghost Dog: The Way of the Samurai,The Straight Story,Joy Ride,The Ladies Man,2024-03-30,Die Hard,False
南京!南京!,A Guy Thing,Hot Fuzz,Among Giants,Friday the 13th: The Final Chapter,Khiladi 786,Why Did I Get Married Too?,2024-03-30,Fatal Attraction,False
Safe Men,The Hitchhiker's Guide to the Galaxy,The Mexican,Perrier’s Bounty,Jungle Shuffle,Chasing Mavericks,Summer of Sam,2024-03-30,12 Rounds,False
Illuminata,The Haunting in Connecticut 2: Ghosts of Georgia,Grabbers,南京!南京!,ATL,Cry_Wolf,Zoolander 2,2024-03-31,#Horror,False
Hulk,Pan,The Haunting in Connecticut 2: Ghosts of Georgia,The Emperor's New Groove,Like Crazy,Confessions of a Dangerous Mind,Skyfall,2024-03-31,Spawn,False
Cinco de Mayo: La Batalla,Thr3e,The Santa Clause,Dragonfly,What Women Want,24 7: Twenty Four Seven,The Mighty Macs,2024-03-31,Beginners,False
The Tale of Despereaux,The Cable Guy,Two Can Play That Game,Dead Man Walking,Code Name: The Cleaner,Spy Kids,The Hunting Party,2024-03-31,Shade,False
The Beaver,The Eye,Desert Blue,Johnny English Reborn,Capricorn One,Terminator 2: Judgment Day,Days of Thunder,2024-03-31,Love & Other Drugs,False
Mr. Holland's Opus,Gosford Park,Tombstone,Doctor Dolittle,Rocket Singh: Salesman of the Year,Next Stop Wonderland,Star Wars: Clone Wars (Volume 1),2024-03-31,Please Give,False
"New York, New York",Thir13en Ghosts,The King's Speech,Days of Thunder,Des hommes et des dieux,Zwartboek,London,2024-04-01,The Mummy Returns,False
An Ideal Husband,"Guten Tag, Ramón",The Punisher,The Omen,The Nutty Professor,Bottle Rocket,Another Year,2024-04-01,Nothing,False
The Remains of the Day,Thirteen,Bait,Scream,"South Park: Bigger, Longer & Uncut",Reno 911!: Miami,Insomnia,2024-04-01,11:14,True
Khumba,The Last King of Scotland,Once,Marmaduke,Sea Rex 3D: Journey to a Prehistoric World,The Andromeda Strain,Fantasia,2024-04-01,Warrior,False
The Ballad of Gregorio Cortez,Air Force One,Divergent,Down Terrace,Triple 9,Reds,Who Killed the Electric Car?,2024-04-01,Veronica Guerin,False
The Spanish Prisoner,The Little Vampire,Glory,Harry Potter and the Prisoner of Azkaban,The Thin Red Line,Halloween III: Season of the Witch,Sea Rex 3D: Journey to a Prehistoric World,2024-04-01,Cats & Dogs 2 : The Revenge of Kitty Galore,False
Anaconda,The Prince of Tides,"Lock, Stock and Two Smoking Barrels",Resident Evil: Extinction,Hostage,The Man with the Iron Fists,Sea Rex 3D: Journey to a Prehistoric World,2024-04-02,Ransom,True
Nim's Island,Barney's Great Adventure,The Whole Ten Yards,Starsky & Hutch,Fuel,Blazing Saddles,The Amazing Spider-Man,2024-04-02,Last Action Hero,False
Cinderella Man,Three to Tango,Windtalkers,Antarctic Edge: 70° South,Paper Towns,Nine,The Final Destination,2024-04-02,Miss March,True
Lottery Ticket,Alien: Resurrection,Snow White and the Seven Dwarfs,Anaconda,La véritable histoire du Chat Botté,A Beginner's Guide to Snuff,One Hour Photo,2024-04-02,Family Plot,False
Enter the Dangerous Mind,The Texas Chain Saw Massacre,Pay It Forward,Drop Dead Gorgeous,The Bourne Supremacy,The Day the Earth Stood Still,The Curse of Downers Grove,2024-04-02,Stay Alive,True
The Master of Disguise,22 Jump Street,Bucky Larson: Born to Be a Star,The Barbarians,Ted 2,Nine 1/2 Weeks,Hanging Up,2024-04-02,Gravity,False
Faithful,xXx: State of the Union,Friday the 13th Part 2,Out of the Blue,一代宗師,The Ballad of Gregorio Cortez,The R.M.,2024-04-03,The Gambler,False
Plastic,The Princess Diaries,The Thirteenth Floor,The Big Parade,Casper,Invaders from Mars,The 51st State,2024-04-03,Saw,True
Ocean's Eleven,Ice Age: Continental Drift,Pinocchio,Halloween 4: The Return of Michael Myers,On the Road,Around the World in 80 Days,Scott Walker: 30 Century Man,2024-04-03,Doug's 1st Movie,False
Why Did I Get Married?,Rendition,Grindhouse,Cinco de Mayo: La Batalla,"Girl, Interrupted",The Benchwarmers,Chill Factor,2024-04-03,This Means War,True
Saw 3D,Radio Flyer,The Omen,Mad Hot Ballroom,Trainspotting,Animal House,Gran Torino,2024-04-03,What the #$*! Do We (K)now!?,False
Ernest et Célestine,Untraceable,Bad Santa,Navy Seals vs. Zombies,Lights Out,Forgetting Sarah Marshall,The Alamo,2024-04-03,Love Stinks,False
Brokedown Palace,The Brothers Solomon,Wall Street,Love & Other Drugs,Jersey Girl,Best in Show,Grace Unplugged,2024-04-04,London,False
As Good as It Gets,Down to You,Un long dimanche de fiançailles,Que Horas Ela Volta?,16 to Life,Maleficent,After the Sunset,2024-04-04,Airplane!,False
Super Size Me,Casa de Areia,Pink Narcissus,Airplane!,Dry Spell,Faster,The Hadza:  Last of the First,2024-04-04,Punisher: War Zone,False
Get Smart,Into the Grizzly Maze,The Ruins,Patch Adams,Connie and Carla,Hotel for Dogs,Ghostbusters,2024-04-04,Harley Davidson and the Marlboro Man,False
Twister,Next Stop Wonderland,Daddy Day Camp,Pollock,Faith Connections,The Glimmer Man,Supporting Characters,2024-04-04,Beginners,False
The SpongeBob SquarePants Movie,Talk Radio,Cube,Train,The Spanish Prisoner,The World's Fastest Indian,The Christmas Candle,2024-04-04,This Thing of Ours,False
American Pie 2,Tracker,Sphere,Zero Effect,The Cookout,Cinco de Mayo: La Batalla,Miss Julie,2024-04-05,Identity,False
Devil,EuroTrip,The Harvest (La Cosecha),Into the Storm,Along Came Polly,The Four Feathers,Fight to the Finish,2024-04-05,The American,False
Hav Plenty,Another Year,VeggieTales: The Pirates Who Don't Do Anything,Quills,Alone With Her,The Night Visitor,Casa de Areia,2024-04-05,The Nutty Professor,False
Crooklyn,Nicholas Nickleby,Sense and Sensibility,Jupiter Ascending,Mean Machine,Center Stage,You Got Served,2024-04-05,Big,False
Blow Out,24 7: Twenty Four Seven,Big Eyes,The Last Samurai,Human Traffic,Midnight in the Garden of Good and Evil,Contraband,2024-04-05,Public Enemies,False
Mean Machine,Anne of Green Gables,Fatal Attraction,A Bridge Too Far,Octopussy,Dom Hemingway,One for the Money,2024-04-05,Small Apartments,False
Ghost,Escape from the Planet of the Apes,Brooklyn Rules,Peaceful Warrior,Tomorrowland,Happy Feet,Bloodsport,2024-04-06,Delgo,False
B-Girl,Mad Max: Fury Road,Indiana Jones and the Kingdom of the Crystal Skull,Gigli,Treachery,The Rage: Carrie 2,Extreme Ops,2024-04-06,The Losers,False
Extract,Apollo 13,Lilja 4-Ever,Nirgendwo in Afrika,Bridge of Spies,Jane Got a Gun,A Beautiful Mind,2024-04-06,How She Move,False
The Devil Wears Prada,The Jungle Book,Burlesque,Waterloo,Love Me Tender,A Nightmare on Elm Street 5: The Dream Child,Orgazmo,2024-04-06,The Young Unknowns,False
Tadpole,Black Rock,Mallrats,The Gift,The Fast and the Furious,Tsotsi,Star Wars: Episode I - The Phantom Menace,2024-04-06,Thank You for Smoking,False
X-Men: Apocalypse,16 Blocks,$upercapitalist,Ask Me Anything,Enchanted,The Devil Inside,The Lovely Bones,2024-04-06,Saw,True
TMNT,Kiss Kiss Bang Bang,Praia do Futuro,The Conversation,The Prisoner of Zenda,House Party 2,Feast,2024-04-07,Small Apartments,False
"The Beast from 20,000 Fathoms",Harry Potter and the Chamber of Secrets,Ira & Abby,Star Trek: The Motion Picture,Des hommes et des dieux,The Da Vinci Code,Take Shelter,2024-04-07,The Cottage,True
Facing the Giants,Amores perros,Top Five,Kevin Hart: Laugh at My Pain,Adventureland,Crash,The Neon Demon,2024-04-07,The Station Agent,False
The Secret Life of Bees,Le Havre,An Education,The Fifth Element,Chicken Little,Transamerica,Nixon,2024-04-07,"Girl, Interrupted",True
Pandaemonium,The Hobbit: The Battle of the Five Armies,The House Bunny,Insidious,Prisoners,Killer Elite,Scary Movie 5,2024-04-07,Sleepers,False
My Stepmother is an Alien,Treachery,The Time Traveler's Wife,Hudson Hawk,The Muppet Movie,Miracles from Heaven,Bubba Ho-tep,2024-04-07,Spawn,False
Star Trek: The Motion Picture,Mulholland Drive,Facing the Giants,Miracle,My All American,Life During Wartime,Mary Poppins,2024-04-08,Gandhi,False
Welcome Home Roscoe Jenkins,Boynton Beach Club,Safe Men,Yogi Bear,Gamer,สุริโยไท,Ben-Hur,2024-04-08,The Young Unknowns,False
The Hunger Games: Catching Fire,Road Trip,Escape from New York,"Lock, Stock and Two Smoking Barrels",Tin Cup,Anne of Green Gables,The Fifth Estate,2024-04-08,The First Wives Club,False
Edge of Darkness,Doomsday,Defendor,Licence to Kill,Deux frères,What a Girl Wants,Margaret,2024-04-08,Show Me,False
Philadelphia,Lawrence of Arabia,Men of War,Superman Returns,First Knight,Four Christmases,On the Road,2024-04-08,Biutiful,False
This Means War,Pink Flamingos,Seed of Chucky,Man on Fire,The Crazies,"I, Frankenstein",The Purge,2024-04-08,RED,False
Enemy of the State,The Island,The Count of Monte Cristo,The Frozen Ground,Just Like Heaven,Jurassic Park III,Escape Plan,2024-04-09,Six-String Samurai,True
Get on Up,Nebraska,22 Jump Street,The Campaign,The Man with the Golden Gun,Lake of Fire,The Last Days on Mars,2024-04-09,Last I Heard,False
The Ruins,Secretary,Gigli,Choke,Draft Day,Gone Girl,The Believer,2024-04-09,Ordet,False
Men in Black 3,Law Abiding Citizen,Conan the Barbarian,Get on the Bus,Superstar,Agora,Licence to Kill,2024-04-09,Irréversible,False
The Red Violin,Crash,Blood Diamond,Prince of Persia: The Sands of Time,The Flintstones in Viva Rock Vegas,Stargate: The Ark of Truth,Hollywood Homicide,2024-04-09,National Treasure,False
Abandoned,The Lord of the Rings: The Return of the King,El Rey de Najayo,Black Christmas,Los insólitos peces gato,Love and Other Catastrophes,The Perfect Storm,2024-04-09,The Devil's Own,True
Brother,Clay Pigeons,The Visual Bible: The Gospel of John,The Amityville Horror,28 Days Later,The Art of War,The Smurfs 2,2024-04-10,Seven Psychopaths,False
Sinbad: Legend of the Seven Seas,21 Jump Street,Varsity Blues,Kama Sutra - A Tale of Love,Sideways,The Wrestler,Poltergeist III,2024-04-10,Zoolander,False
The Abyss,Die Hard 2,Footloose,Casino Royale,JFK,Thor,Spider-Man,2024-04-10,RED,True
Click,A Thin Line Between Love and Hate,Dysfunctional Friends,Should've Been Romeo,Jurassic Park III,Equilibrium,I'm Not There.,2024-04-10,Deuce Bigalow: European Gigolo,False
The Christmas Bunny,The Reader,Misconduct,2 Guns,AWOL-72,Tales from the Hood,Triple 9,2024-04-10,Sugar Town,False
The Last Temptation of Christ,Land of the Dead,The Guru,Cinderella Man,Outbreak,Minority Report,Flammen & Citronen,2024-04-10,In Too Deep,False
The Other Boleyn Girl,The Client,Chicago Overcoat,London to Brighton,Step Up,The Conjuring,The Namesake,2024-04-11,The Yellow Handkerchief,False
xXx,Act of Valor,The Loss of Sexual Innocence,Beyond the Valley of the Dolls,Water & Power,Bathing Beauty,Igby Goes Down,2024-04-11,Pandaemonium,False
Just Go with It,Sabotage,American Hustle,The Passion of the Christ,Meet Joe Black,Drive Me Crazy,The Next Three Days,2024-04-11,Unknown,False
School of Rock,Funny Games,The White Countess,Whatever It Takes,How Green Was My Valley,Stormbreaker,Stitches,2024-04-11,Welcome Home Roscoe Jenkins,True
Taken 2,First Knight,Dawn of the Crescent Moon,Side Effects,White Noise,Bobby Jones: Stroke of Genius,War of the Worlds,2024-04-11,Irréversible,False
Mr. Turner,Crank,Cry Freedom,Captive,Renaissance Man,Southpaw,Megamind,2024-04-11,Forsaken,True
Twin Falls Idaho,The Stepford Wives,Harry Potter and the Order of the Phoenix,Baggage Claim,8 femmes,Breakfast of Champions,Beloved,2024-04-12,곡성,False
The Devil's Double,X-Men,Due Date,The Great Escape,11:14,Gli intoccabili,The FP,2024-04-12,Amidst the Devil's Wings,True
Timeline,Under the Tuscan Sun,Obsluhoval jsem anglického krále,Employee of the Month,Hellboy,七人の侍,Manderlay,2024-04-12,The Yards,False
Psycho,جدایی نادر از سیمین,Gothika,Area 51,The Illusionist,Superman IV: The Quest for Peace,Dark Shadows,2024-04-12,Rang De Basanti,False
Spy Game,The Lovers,Ong Bak 2,Area 51,Despicable Me 2,Ironclad,The Specialist,2024-04-12,Killer Elite,False
Top Spin,Surrogates,Double Jeopardy,The Hobbit: The Desolation of Smaug,Slums of Beverly Hills,Secondhand Lions,The Guard,2024-04-12,Robin and Marian,False
The Sticky Fingers of Time,Primer,三枪拍案惊奇,Return of the Jedi,Almost Famous,Drive Angry,White House Down,2024-04-13,Homefront,False
The Lucky Ones,Need for Speed,Knock Off,The Wraith,One Hour Photo,Resident Evil: Afterlife,The Work and the Glory,2024-04-13,Eight Below,False
The Limey,Very Bad Things,Coal Miner's Daughter,Lara Croft: Tomb Raider,The Twilight Saga: New Moon,Partition,Patton,2024-04-13,Beloved,False
The Last Exorcism Part II,9,Babel,Lions for Lambs,Young Adult,Wanderlust,Teacher's Pet,2024-04-13,Love and Other Catastrophes,False
Dumb and Dumberer: When Harry Met Lloyd,The Good Thief,World Trade Center,"Definitely, Maybe",Wild Wild West,The Wrestler,The Mask,2024-04-13,Super,False
The Lovely Bones,Cama adentro,It's All Gone Pete Tong,Get Him to the Greek,Ghosts of Mississippi,The Right Stuff,Batman Begins,2024-04-13,Super,False
The Amazing Spider-Man,House Party 2,The Remains of the Day,College,Arlington Road,The Piano,My Fellow Americans,2024-04-14,The Spectacular Now,False
Fat Albert,Time to Choose,Doomsday,Bang Bang Baby,Hot Fuzz,Sausage Party,Little Children,2024-04-14,The Face of an Angel,True
Garden State,White Oleander,Little Boy,Finding Neverland,The Crocodile Hunter: Collision Course,Behind Enemy Lines,The Dead Zone,2024-04-14,Blue Ruin,False
Shade,The Rocker,The Game of Their Lives,Friday the 13th Part VIII: Jason Takes Manhattan,A Cock and Bull Story,My Summer of Love,The Heart of Me,2024-04-14,Summer Catch,False
Bronson,Mystery Men,Brüno,The Muse,Space Cowboys,Driving Miss Daisy,Analyze That,2024-04-14,Analyze This,False
The Lost City,Wicked Blood,归来,Winter's Bone,A Bridge Too Far,The Interpreter,Pound of Flesh,2024-04-14,Biutiful,False
Rosewater,Away We Go,The Curse of the Jade Scorpion,The Kids Are All Right,Black Rock,Welcome Home Roscoe Jenkins,The Silence of the Lambs,2024-04-15,And So It Goes,True
Bedazzled,Scrooged,Shadow Conspiracy,Paper Towns,The Ballad of Gregorio Cortez,The Spectacular Now,The Apparition,2024-04-15,The Young Unknowns,True
Ouija,Little Man,Silent Running,Narc,The Bridges of Madison County,Jimmy Neutron: Boy Genius,Finishing The Game,2024-04-15,xXx: State of the Union,False
辛亥革命,Hotel Transylvania 2,La femme de chambre du Titanic,Madea's Witness Protection,Bending Steel,Piranha 3D,Cidade de Deus,2024-04-15,Finding Neverland,False
My Week with Marilyn,The Ugly Truth,Road House,Sunday School Musical,Vertical Limit,Zambezia,Identity,2024-04-15,Show Me,False
Swept Away,Step Up,Forrest Gump,The Pallbearer,Repo! The Genetic Opera,Alone With Her,The Phantom,2024-04-15,Something Wicked,False
Angels & Demons,Irréversible,Undiscovered,Gracie,Meet the Parents,Last Orders,The Muse,2024-04-16,How Do You Know,True
Annie,It's Kind of a Funny Story,Inside Man,The Hunt for Red October,Snow White: A Tale of Terror,Street Fighter,The Bridge on the River Kwai,2024-04-16,Trade,False
Betty Fisher et autres histoires,When a Stranger Calls,Daylight,Exodus: Gods and Kings,Felicia's Journey,My Cousin Vinny,Sweet November,2024-04-16,Irréversible,False
Volcano,The End of the Affair,Fahrenheit 9/11,Hodejegerne,The Longest Yard,Exit Wounds,Medicine Man,2024-04-16,Irréversible,False
The Fighter,The Son of No One,The Reader,Do the Right Thing,Magnolia,Vessel,Bowfinger,2024-04-16,Gamer,False
Mrs Henderson Presents,Frequency,Walter,곡성,Straight A's,Rat Race,Paint Your Wagon,2024-04-16,The Secret of Kells,True
The Adventures of Huck Finn,The Work and the Glory,Pocketful of Miracles,Anna and the King,Hulk,The Bounty Hunter,Flammen & Citronen,2024-04-17,The Fisher King,False
The Neverending Story,The English Patient,Party Monster,Frat Party,I Got the Hook Up,The Hobbit: The Desolation of Smaug,Bang Bang Baby,2024-04-17,Midnight Cowboy,False
2:13,Micmacs à tire-larigot,Fight to the Finish,Escape from the Planet of the Apes,Puss in Boots,The Phantom of the Opera,Pandaemonium,2024-04-17,The Town,True
My Stepmother is an Alien,Boynton Beach Club,Das weisse Band,Arn: Tempelriddaren,Charlie St. Cloud,Original Sin,天將雄師,2024-04-17,The Young Unknowns,False
He Got Game,Any Given Sunday,Doom,Celeste & Jesse Forever,Batman Returns,Boogie Nights,The Horse Boy,2024-04-17,Saw,False
Hudson Hawk,Wrath of the Titans,Black Hawk Down,Random Hearts,American Sniper,Zookeeper,The Spirit,2024-04-17,American Hero,True
Little Boy,Western Religion,Modern Times,Gracie,Dracula Untold,The Dirties,Oliver Twist,2024-04-18,Baby Boy,False
Bloodsport,The Sisterhood of the Traveling Pants,The Last Five Years,Madison,Bad Words,A History of Violence,Stardust,2024-04-18,And So It Goes,False
The Young Unknowns,Opposite Sex,Holes,Scream 2,The Toxic Avenger Part II,Mr. Church,Underworld: Evolution,2024-04-18,Penitentiary,False
Eraserhead,Hanna,Mi America,Festen,醉拳二,Walking Tall,White House Down,2024-04-18,Hurricane Streets,True
Go for It!,The Robe,The Pirate,The Men Who Stare at Goats,3 Days to Kill,Menace II Society,JFK,2024-04-18,Shooter,False
Red Riding: In the Year of Our Lord 1974,인천상륙작전,Aliens vs Predator: Requiem,Begin Again,Love the Coopers,疯狂的赛车,eXistenZ,2024-04-18,The Scarlet Letter,True
Interview with the Assassin,The Medallion,Tanner Hall,Paper Towns,Raise the Titanic,Three Kings,The Boat That Rocked,2024-04-19,Saw,False
The Imitation Game,Dungeons & Dragons: Wrath of the Dragon God,Club Dread,Lars and the Real Girl,Beloved,Sherlock Holmes: A Game of Shadows,Extremely Loud & Incredibly Close,2024-04-19,Something Wicked,False
After Earth,Alone With Her,The Best Little Whorehouse in Texas,Georgia Rule,GoldenEye,A Cinderella Story,Så som i himmelen,2024-04-19,Roadside Romeo,False
Left Behind,The Love Guru,The Rock,The Cotton Club,Drillbit Taylor,Saw 3D,Snow Day,2024-04-19,The Jackal,False
Dope,Tusk,Gossip,Pete's Dragon,Sanctuary: Quite a Conundrum,The Infiltrator,On the Waterfront,2024-04-19,Deuce Bigalow: European Gigolo,False
Prophecy,Michael Clayton,Casa de Areia,Anna and the King,A Mighty Heart,Dracula: Pages from a Virgin's Diary,Monsters,2024-04-19,Interview with the Vampire,False
Office Space,Charlie Bartlett,The Legend of the Lone Ranger,The Thirteenth Floor,The Insider,Wild Target,From Here to Eternity,2024-04-20,Saw,False
Clear and Present Danger,You Don't Mess with the Zohan,A Scanner Darkly,My Life Without Me,Concussion,Love Me Tender,Just Go with It,2024-04-20,Analyze This,False
My Sister's Keeper,Adaptation.,BloodRayne,Money Monster,How Green Was My Valley,Charlie and the Chocolate Factory,Ramona and Beezus,2024-04-20,Love's Abiding Joy,False
Man on a Ledge,The Hunt for Red October,The Cooler,Black Water Transit,La niña santa,In Bruges,The Terminator,2024-04-20,The Saint,False
Green Zone,A Walk Among the Tombstones,剑雨,Trippin',Dreamcatcher,The Hunting Party,Alive,2024-04-20,Assassins,False
Mud,The Replacement Killers,Goldfinger,Snow Dogs,Stone,Wyatt Earp,Hotel Transylvania 2,2024-04-20,Penitentiary,False
Cirque du Freak: The Vampire's Assistant,Prophecy,An Education,The Chronicles of Riddick,Sur le seuil,Tower Heist,Argo,2024-04-21,Bound by Honor,False
The Lord of the Rings: The Two Towers,Backmask,"20,000 Leagues Under the Sea",Find Me Guilty,Full Frontal,How Stella Got Her Groove Back,The Guru,2024-04-21,Bizarre,False
Total Recall,Meek's Cutoff,The Debt,She's Gotta Have It,El Crimen del Padre Amaro,Rambo: First Blood Part II,Tomorrow Never Dies,2024-04-21,Saw,False
Step Up,Extremely Loud & Incredibly Close,What Happens in Vegas,47 Ronin,Law Abiding Citizen,Arlington Road,Oscar and Lucinda,2024-04-21,Me Before You,False
Daddy Day Care,Dead Man Walking,Saw VI,Blades of Glory,Let's Go to Prison,The Christmas Candle,Casino Jack,2024-04-21,Death at a Funeral,False
Brick Lane,Good Dick,Australia,The Face of an Angel,Free Birds,Wild Wild West,A Funny Thing Happened on the Way to the Forum,2024-04-21,Analyze This,False
Babylon A.D.,Quigley Down Under,Crazy/Beautiful,Rudderless,Dark Shadows,Snabba Cash,Jason X,2024-04-22,Contraband,False
In Her Line of Fire,The Sweeney,Get Shorty,Nancy Drew,Independence Day,EverAfter,Shaft,2024-04-22,A.I. Artificial Intelligence,False
I Still Know What You Did Last Summer,Fear Clinic,Radio Days,Lolita,The Vow,Winnie Mandela,The Borrowers,2024-04-22,The Secret Life of Walter Mitty,False
Logan's Run,Savage Grace,Project X,Baahubali: The Beginning,Shotgun Stories,Juno,The Day After Tomorrow,2024-04-22,The Yellow Handkerchief,False
Per un pugno di dollari,La Famille Bélier,Munich,Music and Lyrics,Teeth and Blood,Wild Card,Blue Crush,2024-04-22,Irréversible,True
The Forest,Rugrats in Paris: The Movie,Salvando al Soldado Perez,The Jungle Book 2,Priest,Clockstoppers,The Ninth Gate,2024-04-22,The Curse of the Were-Rabbit,True
Mean Machine,Pocahontas,Cheaper by the Dozen 2,Mad Max 2,Kickboxer: Vengeance,Rachel Getting Married,Singin' in the Rain,2024-04-23,The Debt,False
Mulan,Young Guns,Milk,No Reservations,Underworld: Awakening,The Lost Weekend,From a Whisper to a Scream,2024-04-23,Enough,False
Winter's Bone,Lilja 4-Ever,Final Destination 5,The Boys from Brazil,The Quiet American,Superman IV: The Quest for Peace,Pootie Tang,2024-04-23,Tinker Tailor Soldier Spy,False
Silent Hill,For Colored Girls,少林足球,A escondidas,Something's Gotta Give,Return to Me,The Expendables,2024-04-23,Punch-Drunk Love,False
Rejsen til Saturn,Spanglish,Love in the Time of Monsters,A Beginner's Guide to Snuff,Finding Forrester,How Do You Know,All Superheroes Must Die,2024-04-23,Aladdin,False
The Wolf of Wall Street,"Bright Lights, Big City",Transformers,Stories of Our Lives,Stiff Upper Lips,Epic,The Mask,2024-04-23,The Iceman,True
Darling Companion,Superbad,Dumb and Dumber To,Corpse Bride,Chocolate: Deep Dark Secrets,Batman Returns,Psycho Beach Party,2024-04-24,The Misfits,False
Abduction,Heaven is for Real,Barry Lyndon,The Man Who Knew Too Little,Zodiac,Disaster Movie,New York Stories,2024-04-24,ต้มยำกุ้ง,True
Desert Dancer,Beyond the Mat,سكر بنات,We're No Angels,El Crimen del Padre Amaro,The Lazarus Effect,Highlander,2024-04-24,Midnight in Paris,False
Harry Brown,I Am Number Four,For Love of the Game,Mirrormask,Lilo & Stitch,Beneath the Planet of the Apes,Trippin',2024-04-24,About a Boy,True
十月圍城,Hocus Pocus,The Chronicles of Riddick,Source Code,Little Fockers,Oz: The Great and Powerful,Envy,2024-04-24,Spawn,False
Collateral,What Lies Beneath,The Prince & Me,DragonHeart,Beowulf,The Brothers Solomon,Year One,2024-04-24,And So It Goes,False
Shark Tale,Roger & Me,Halloween III: Season of the Witch,Ender's Game,Baby's Day Out,Eat Pray Love,Lars and the Real Girl,2024-04-25,Show Me,False
Alone in the Dark,Dark Water,Jack the Giant Slayer,Universal Soldier: The Return,A Haunted House 2,Halloween II,Scott Walker: 30 Century Man,2024-04-25,Insidious,True
No Country for Old Men,Flight of the Intruder,Dickie Roberts: Former Child Star,Fugly,Chocolate: Deep Dark Secrets,Captain Corelli's Mandolin,Garfield: A Tail of Two Kitties,2024-04-25,xXx: State of the Union,False
